"id","category","denominazione_regione","date","origin_x","origin_y","stripes_x","stripes_y","bunches_x","bunches_y","clusters_x","clusters_y"
"Lomb-dime-526","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.97,0.78,-776.549,-748.652,-776.549,-748.652
"Lomb-dime-527","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.974,0.375,-731.847,-1087.124,-731.847,-1087.124
"Lomb-dime-528","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.916,0.358,-540.958,-809.554,-540.958,-809.554
"Lomb-dime-529","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.901,0.17,-867.484,-878.349,-867.484,-878.349
"Lomb-dime-530","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.967,0.174,-574.227,-1053.895,-574.227,-1053.895
"Lomb-dime-531","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.955,0.89,-677.672,-723.196,-677.672,-723.196
"Lomb-dime-532","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.924,0.451,-818.373,-1031.396,-818.373,-1031.396
"Lomb-dime-533","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.94,0.221,-506.584,-908.948,-506.584,-908.948
"Lomb-dime-534","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.933,0.547,-825.834,-790.484,-825.834,-790.484
"Lomb-dime-535","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.912,0.756,-669.939,-1092.855,-669.939,-1092.855
"Lomb-dime-536","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.954,0.33,-582.049,-763.104,-582.049,-763.104
"Lomb-dime-537","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.953,0.357,-864.426,-941.424,-864.426,-941.424
"Lomb-dime-538","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.923,0.834,-535.191,-1008.406,-535.191,-1008.406
"Lomb-dime-539","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,1,0.91,-740.906,-730.499,-740.906,-730.499
"Lomb-dime-540","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.96,0.94,-769.381,-1071.714,-769.381,-1071.714
"Lomb-dime-541","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.951,0.257,-516.661,-840.731,-516.661,-840.731
"Lomb-dime-542","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.939,0.295,-855.52,-839.815,-855.52,-839.815
"Lomb-dime-543","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.928,0.399,-605.444,-1074.315,-605.444,-1074.315
"Lomb-dime-544","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.938,0.021,-638.391,-730.389,-638.391,-730.389
"Lomb-dime-545","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.972,0.257,-841.465,-1001.956,-841.465,-1001.956
"Lomb-dime-546","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.951,0.023,-506.873,-948.437,-506.873,-948.437
"Lomb-dime-547","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.924,0.862,-793.845,-764.357,-793.845,-764.357
"Lomb-dime-548","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.933,0.361,-708.686,-1089.428,-708.686,-1089.428
"Lomb-dime-549","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.932,0.064,-552.834,-793.643,-552.834,-793.643
"Lomb-dime-550","dimessi_guariti","Lombardia","2020-03-10",-675.283,-898.487,0.973,0.973,-867.063,-901.778,-867.063,-901.778
