"id","category","denominazione_regione","date","_x","_y","x","y","s_x","s_y","b_x","b_y","c_x","c_y"
"Lomb-rico-1365","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.418,0.892,-734.901,-809.168,-734.901,-809.168
"Lomb-rico-1366","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.215,0.794,-712.188,-1013.637,-712.188,-1013.637
"Lomb-rico-1367","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.474,0.321,-592.057,-850.501,-592.057,-850.501
"Lomb-rico-1368","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.381,0.887,-798.892,-890.29,-798.892,-890.29
"Lomb-rico-1369","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.339,0.408,-619.313,-989.96,-619.313,-989.96
"Lomb-rico-1370","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.488,0.902,-677.942,-792.296,-677.942,-792.296
"Lomb-rico-1371","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.297,0.624,-766.374,-979.004,-766.374,-979.004
"Lomb-rico-1372","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.311,0.759,-574.532,-904.481,-574.532,-904.481
"Lomb-rico-1373","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.486,0.372,-761.915,-827.708,-761.915,-827.708
"Lomb-rico-1374","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.382,0.372,-677.966,-1020.545,-677.966,-1020.545
"Lomb-rico-1375","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.359,0.563,-619.296,-815.272,-619.296,-815.272
"Lomb-rico-1376","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.141,0.357,-789.593,-921.925,-789.593,-921.925
"Lomb-rico-1377","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.403,0.695,-595.473,-973.971,-595.473,-973.971
"Lomb-rico-1378","ricoverati_con_sintomi","Lombardia","2020-03-08",-675.283,-898.487,-675.283,-898.487,0.193,0.908,-710.6,-798.54,-710.6,-798.54
